brand,category,type,sentiment
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.7089
NVIDIA,dlss_only,comment,-0.34
NVIDIA,dlss_only,comment,-0.4767
NVIDIA,dlss_only,comment,-0.2023
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.3182
NVIDIA,dlss_only,comment,-0.4588
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.8821
NVIDIA,dlss_only,comment,-0.5647
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.7269
NVIDIA,dlss_only,comment,-0.2846
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.4854
NVIDIA,dlss_only,comment,0.7184
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.2901
NVIDIA,dlss_only,comment,-0.0258
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.8225
NVIDIA,dlss_only,post,0.7452
NVIDIA,dlss_only,comment,0.6779
NVIDIA,dlss_only,comment,0.9293
NVIDIA,dlss_only,comment,0.9381
NVIDIA,dlss_only,comment,0.2831
NVIDIA,dlss_only,comment,-0.5216
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.3612
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.4215
NVIDIA,dlss_only,comment,-0.5267
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.8914
NVIDIA,dlss_only,comment,0.3818
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.8885
NVIDIA,dlss_only,comment,0.9468
NVIDIA,dlss_only,comment,0.1655
NVIDIA,dlss_only,comment,-0.2263
NVIDIA,dlss_only,comment,0.4215
NVIDIA,dlss_only,comment,0.7391
NVIDIA,dlss_only,comment,0.7003
NVIDIA,dlss_only,comment,0.2298
NVIDIA,dlss_only,comment,0.7351
NVIDIA,dlss_only,comment,0.4019
NVIDIA,dlss_only,comment,0.2617
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.5267
NVIDIA,dlss_only,comment,0.5859
NVIDIA,dlss_only,comment,-0.2732
NVIDIA,dlss_only,post,0.9989
NVIDIA,dlss_only,comment,0.5423
NVIDIA,dlss_only,comment,0.6245
NVIDIA,dlss_only,comment,-0.6799
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.6204
NVIDIA,dlss_only,comment,-0.6486
NVIDIA,dlss_only,comment,-0.033
NVIDIA,dlss_only,comment,-0.296
NVIDIA,dlss_only,comment,-0.3612
NVIDIA,dlss_only,comment,0.9298
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.8253
NVIDIA,dlss_only,comment,-0.6191
NVIDIA,dlss_only,comment,-0.2486
NVIDIA,dlss_only,comment,0.264
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.9127
NVIDIA,dlss_only,comment,0.5994
NVIDIA,dlss_only,comment,0.128
NVIDIA,dlss_only,comment,0.3182
NVIDIA,dlss_only,comment,0.6335
NVIDIA,dlss_only,comment,0.3818
NVIDIA,dlss_only,comment,-0.5106
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.5574
NVIDIA,dlss_only,comment,0.9367
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.2942
NVIDIA,dlss_only,comment,0.9423
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,post,-0.6412
NVIDIA,dlss_only,comment,0.3818
NVIDIA,dlss_only,comment,0.4939
NVIDIA,dlss_only,comment,0.486
NVIDIA,dlss_only,comment,0.2115
NVIDIA,dlss_only,comment,0.4404
NVIDIA,dlss_only,comment,0.1531
NVIDIA,dlss_only,comment,0.1448
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.0772
NVIDIA,dlss_only,comment,-0.2023
NVIDIA,dlss_only,comment,0.9707
NVIDIA,dlss_only,comment,0.7636
NVIDIA,dlss_only,comment,0.8191
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.9182
NVIDIA,dlss_only,comment,-0.9418
NVIDIA,dlss_only,comment,0.7902
NVIDIA,dlss_only,comment,0.7964
NVIDIA,dlss_only,comment,0.1027
NVIDIA,dlss_only,comment,-0.2023
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.7906
NVIDIA,dlss_only,comment,0.4588
NVIDIA,dlss_only,comment,0.9435
NVIDIA,dlss_only,comment,0.8221
NVIDIA,dlss_only,comment,0.9149
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.6597
NVIDIA,dlss_only,comment,0.9596
NVIDIA,dlss_only,comment,-0.0772
NVIDIA,dlss_only,post,0.0
NVIDIA,dlss_only,comment,-0.1481
NVIDIA,dlss_only,comment,0.796
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.2732
NVIDIA,dlss_only,comment,0.3395
NVIDIA,dlss_only,comment,0.4404
NVIDIA,dlss_only,comment,0.7506
NVIDIA,dlss_only,comment,-0.4939
NVIDIA,dlss_only,comment,0.5859
NVIDIA,dlss_only,comment,-0.4215
NVIDIA,dlss_only,comment,-0.296
NVIDIA,dlss_only,comment,-0.3182
NVIDIA,dlss_only,comment,-0.34
NVIDIA,dlss_only,comment,-0.3597
NVIDIA,dlss_only,comment,-0.5023
NVIDIA,dlss_only,comment,0.5927
NVIDIA,dlss_only,comment,0.3612
NVIDIA,dlss_only,comment,0.7726
NVIDIA,dlss_only,comment,0.8074
NVIDIA,dlss_only,comment,0.2382
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.7506
NVIDIA,dlss_only,comment,0.3919
NVIDIA,dlss_only,comment,0.1585
NVIDIA,dlss_only,comment,0.4404
NVIDIA,dlss_only,comment,-0.719
NVIDIA,dlss_only,comment,-0.2263
NVIDIA,dlss_only,comment,-0.25
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.4877
NVIDIA,dlss_only,post,0.5829
NVIDIA,dlss_only,comment,0.4019
NVIDIA,dlss_only,comment,0.6249
NVIDIA,dlss_only,comment,0.7506
NVIDIA,dlss_only,comment,0.7003
NVIDIA,dlss_only,comment,0.8078
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.4019
NVIDIA,dlss_only,comment,0.1779
NVIDIA,dlss_only,comment,0.4144
NVIDIA,dlss_only,comment,-0.4019
NVIDIA,dlss_only,comment,0.4404
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.8965
NVIDIA,dlss_only,comment,-0.7231
NVIDIA,dlss_only,comment,0.9203
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.8674
NVIDIA,dlss_only,comment,-0.5423
NVIDIA,dlss_only,comment,-0.7184
NVIDIA,dlss_only,comment,0.5859
NVIDIA,dlss_only,comment,0.6486
NVIDIA,dlss_only,comment,0.8126
NVIDIA,dlss_only,comment,0.4404
NVIDIA,dlss_only,comment,0.3307
NVIDIA,dlss_only,comment,0.91
NVIDIA,dlss_only,comment,0.9382
NVIDIA,dlss_only,comment,-0.6865
NVIDIA,dlss_only,comment,-0.5859
NVIDIA,dlss_only,post,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.2481
NVIDIA,dlss_only,comment,-0.658
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.9066
NVIDIA,dlss_only,comment,-0.193
NVIDIA,dlss_only,comment,0.3818
NVIDIA,dlss_only,comment,-0.8225
NVIDIA,dlss_only,comment,-0.2057
NVIDIA,dlss_only,comment,0.4767
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.1275
NVIDIA,dlss_only,comment,-0.5324
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.4404
NVIDIA,dlss_only,comment,0.6486
NVIDIA,dlss_only,comment,-0.6796
NVIDIA,dlss_only,comment,-0.9231
NVIDIA,dlss_only,comment,0.4215
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.8429
NVIDIA,dlss_only,comment,0.5796
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.9023
NVIDIA,dlss_only,comment,-0.3506
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.1531
NVIDIA,dlss_only,comment,0.4215
NVIDIA,dlss_only,comment,-0.2952
NVIDIA,dlss_only,post,0.9994
NVIDIA,dlss_only,comment,0.8606
NVIDIA,dlss_only,comment,-0.3267
NVIDIA,dlss_only,comment,-0.4019
NVIDIA,dlss_only,comment,0.4215
NVIDIA,dlss_only,comment,0.8481
NVIDIA,dlss_only,comment,-0.2719
NVIDIA,dlss_only,comment,-0.6705
NVIDIA,dlss_only,comment,-0.4738
NVIDIA,dlss_only,comment,-0.4404
NVIDIA,dlss_only,comment,-0.0572
NVIDIA,dlss_only,comment,0.7227
NVIDIA,dlss_only,comment,0.4404
NVIDIA,dlss_only,comment,0.4404
NVIDIA,dlss_only,comment,0.5106
NVIDIA,dlss_only,comment,-0.2584
NVIDIA,dlss_only,comment,-0.0772
NVIDIA,dlss_only,comment,-0.1779
NVIDIA,dlss_only,comment,-0.296
NVIDIA,dlss_only,comment,0.8762
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.7941
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.296
NVIDIA,dlss_only,comment,-0.659
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,0.5106
NVIDIA,dlss_only,comment,-0.7269
NVIDIA,dlss_only,comment,0.0516
NVIDIA,dlss_only,comment,-0.1858
NVIDIA,dlss_only,post,0.6597
NVIDIA,dlss_only,comment,0.3699
NVIDIA,dlss_only,comment,0.6908
NVIDIA,dlss_only,comment,0.9555
NVIDIA,dlss_only,comment,-0.6486
NVIDIA,dlss_only,comment,0.6908
NVIDIA,dlss_only,comment,0.431
NVIDIA,dlss_only,comment,-0.9217
NVIDIA,dlss_only,comment,-0.2411
NVIDIA,dlss_only,comment,0.1779
NVIDIA,dlss_only,comment,0.2732
NVIDIA,dlss_only,comment,0.7574
NVIDIA,dlss_only,comment,0.886
NVIDIA,dlss_only,comment,-0.0516
NVIDIA,dlss_only,comment,0.5983
NVIDIA,dlss_only,comment,-0.296
NVIDIA,dlss_only,comment,0.0
NVIDIA,dlss_only,comment,-0.1885
NVIDIA,dlss_only,comment,0.8553
